time_iso8601,forks_cumulative
2024-10-27 00:00:00+00:00,41553
2024-10-28 00:00:00+00:00,41565
2024-10-29 00:00:00+00:00,41575
2024-10-30 00:00:00+00:00,41586
2024-10-31 00:00:00+00:00,41596
2024-11-01 00:00:00+00:00,41605
2024-11-02 00:00:00+00:00,41616
2024-11-03 00:00:00+00:00,41620
2024-11-04 00:00:00+00:00,41624
2024-11-05 00:00:00+00:00,41634
2024-11-06 00:00:00+00:00,41642
2024-11-07 00:00:00+00:00,41659
2024-11-08 00:00:00+00:00,41664
2024-11-09 00:00:00+00:00,41679
2024-11-10 00:00:00+00:00,41686
2024-11-11 00:00:00+00:00,41699
2024-11-12 00:00:00+00:00,41716
2024-11-13 00:00:00+00:00,41730
2024-11-14 00:00:00+00:00,41740
2024-11-15 00:00:00+00:00,41749
2024-11-16 00:00:00+00:00,41754
2024-11-17 00:00:00+00:00,41765
2024-11-18 00:00:00+00:00,41774
2024-11-19 00:00:00+00:00,41787
2024-11-20 00:00:00+00:00,41805
2024-11-21 00:00:00+00:00,41819
2024-11-22 00:00:00+00:00,41830
2024-11-23 00:00:00+00:00,41843
2024-11-24 00:00:00+00:00,41851
2024-11-25 00:00:00+00:00,41865
2024-11-26 00:00:00+00:00,41875
2024-11-27 00:00:00+00:00,41885
2024-11-28 00:00:00+00:00,41895
2024-11-29 00:00:00+00:00,41901
2024-11-30 00:00:00+00:00,41906
2024-12-01 00:00:00+00:00,41915
2024-12-02 00:00:00+00:00,41922
2024-12-03 00:00:00+00:00,41941
2024-12-04 00:00:00+00:00,41956
2024-12-05 00:00:00+00:00,41970
2024-12-06 00:00:00+00:00,41982
2024-12-07 00:00:00+00:00,41988
2024-12-08 00:00:00+00:00,41999
2024-12-09 00:00:00+00:00,42014
2024-12-10 00:00:00+00:00,42023
2024-12-11 00:00:00+00:00,42033
2024-12-12 00:00:00+00:00,42042
2024-12-13 00:00:00+00:00,42051
2024-12-14 00:00:00+00:00,42066
2024-12-15 00:00:00+00:00,42077
2024-12-16 00:00:00+00:00,42086
2024-12-17 00:00:00+00:00,42102
2024-12-18 00:00:00+00:00,42114
2024-12-19 00:00:00+00:00,42126
2024-12-20 00:00:00+00:00,42137
2024-12-21 00:00:00+00:00,42142
2024-12-22 00:00:00+00:00,42154
2024-12-23 00:00:00+00:00,42172
2024-12-24 00:00:00+00:00,42197
2024-12-25 00:00:00+00:00,42218
2024-12-26 00:00:00+00:00,42235
2024-12-27 00:00:00+00:00,42251
2024-12-28 00:00:00+00:00,42268
2024-12-29 00:00:00+00:00,42279
2024-12-30 00:00:00+00:00,42286
2024-12-31 00:00:00+00:00,42298
2025-01-01 00:00:00+00:00,42302
2025-01-02 00:00:00+00:00,42319
2025-01-03 00:00:00+00:00,42337
2025-01-04 00:00:00+00:00,42346
2025-01-05 00:00:00+00:00,42359
2025-01-06 00:00:00+00:00,42378
2025-01-07 00:00:00+00:00,42394
2025-01-08 00:00:00+00:00,42403
2025-01-09 00:00:00+00:00,42421
2025-01-10 00:00:00+00:00,42436
2025-01-11 00:00:00+00:00,42447
2025-01-12 00:00:00+00:00,42459
2025-01-13 00:00:00+00:00,42474
2025-01-14 00:00:00+00:00,42507
2025-01-15 00:00:00+00:00,42519
2025-01-16 00:00:00+00:00,42539
2025-01-17 00:00:00+00:00,42550
2025-01-18 00:00:00+00:00,42563
2025-01-19 00:00:00+00:00,42571
2025-01-20 00:00:00+00:00,42588
2025-01-21 00:00:00+00:00,42602
2025-01-22 00:00:00+00:00,42616
2025-01-23 00:00:00+00:00,42630
2025-01-24 00:00:00+00:00,42641
2025-01-25 00:00:00+00:00,42650
2025-01-26 00:00:00+00:00,42660
2025-01-27 00:00:00+00:00,42671
2025-01-28 00:00:00+00:00,42683
2025-01-29 00:00:00+00:00,42694
2025-01-30 00:00:00+00:00,42704
2025-01-31 00:00:00+00:00,42714
2025-02-01 00:00:00+00:00,42723
2025-02-02 00:00:00+00:00,42734
2025-02-03 00:00:00+00:00,42743
2025-02-04 00:00:00+00:00,42758
2025-02-05 00:00:00+00:00,42772
2025-02-06 00:00:00+00:00,42787
2025-02-07 00:00:00+00:00,42806
2025-02-08 00:00:00+00:00,42823
2025-02-09 00:00:00+00:00,42838
2025-02-10 00:00:00+00:00,42857
2025-02-11 00:00:00+00:00,42869
2025-02-12 00:00:00+00:00,42885
2025-02-13 00:00:00+00:00,42894
2025-02-14 00:00:00+00:00,42903
2025-02-15 00:00:00+00:00,42910
2025-02-16 00:00:00+00:00,42926
2025-02-17 00:00:00+00:00,42941
2025-02-18 00:00:00+00:00,42960
2025-02-19 00:00:00+00:00,42976
2025-02-20 00:00:00+00:00,42987
2025-02-21 00:00:00+00:00,43002
2025-02-22 00:00:00+00:00,43011
2025-02-23 00:00:00+00:00,43023
2025-02-24 00:00:00+00:00,43035
2025-02-25 00:00:00+00:00,43055
2025-02-26 00:00:00+00:00,43068
2025-02-27 00:00:00+00:00,43092
2025-02-28 00:00:00+00:00,43110
2025-03-01 00:00:00+00:00,43120
2025-03-02 00:00:00+00:00,43130
2025-03-03 00:00:00+00:00,43138
2025-03-04 00:00:00+00:00,43149
2025-03-05 00:00:00+00:00,43161
2025-03-06 00:00:00+00:00,43173
2025-03-07 00:00:00+00:00,43194
2025-03-08 00:00:00+00:00,43218
2025-03-09 00:00:00+00:00,43240
2025-03-10 00:00:00+00:00,43270
2025-03-11 00:00:00+00:00,43287
2025-03-12 00:00:00+00:00,43306
2025-03-13 00:00:00+00:00,43331
2025-03-14 00:00:00+00:00,43355
2025-03-15 00:00:00+00:00,43364
2025-03-16 00:00:00+00:00,43377
2025-03-17 00:00:00+00:00,43395
2025-03-18 00:00:00+00:00,43407
2025-03-19 00:00:00+00:00,43424
2025-03-20 00:00:00+00:00,43446
2025-03-21 00:00:00+00:00,43461
2025-03-22 00:00:00+00:00,43469
2025-03-23 00:00:00+00:00,43482
2025-03-24 00:00:00+00:00,43504
2025-03-25 00:00:00+00:00,43514
2025-03-26 00:00:00+00:00,43528
2025-03-27 00:00:00+00:00,43542
2025-03-28 00:00:00+00:00,43555
2025-03-29 00:00:00+00:00,43570
2025-03-30 00:00:00+00:00,43581
2025-03-31 00:00:00+00:00,43590
2025-04-01 00:00:00+00:00,43603
2025-04-02 00:00:00+00:00,43613
2025-04-03 00:00:00+00:00,43621
2025-04-04 00:00:00+00:00,43638
2025-04-05 00:00:00+00:00,43645
2025-04-06 00:00:00+00:00,43654
2025-04-07 00:00:00+00:00,43667
2025-04-08 00:00:00+00:00,43674
2025-04-09 00:00:00+00:00,43682
2025-04-10 00:00:00+00:00,43692
2025-04-11 00:00:00+00:00,43701
2025-04-12 00:00:00+00:00,43706
2025-04-13 00:00:00+00:00,43715
2025-04-14 00:00:00+00:00,43728
2025-04-15 00:00:00+00:00,43735
2025-04-16 00:00:00+00:00,43749
2025-04-17 00:00:00+00:00,43760
2025-04-18 00:00:00+00:00,43765
2025-04-19 00:00:00+00:00,43777
2025-04-20 00:00:00+00:00,43787
2025-04-21 00:00:00+00:00,43801
2025-04-22 00:00:00+00:00,43813
2025-04-23 00:00:00+00:00,43826
2025-04-24 00:00:00+00:00,43836
2025-04-25 00:00:00+00:00,43846
2025-04-26 00:00:00+00:00,43852
2025-04-27 00:00:00+00:00,43864
2025-04-28 00:00:00+00:00,43871
2025-04-29 00:00:00+00:00,43886
2025-04-30 00:00:00+00:00,43896
2025-05-01 00:00:00+00:00,43899
2025-05-02 00:00:00+00:00,43903
2025-05-03 00:00:00+00:00,43916
2025-05-04 00:00:00+00:00,43926
2025-05-05 00:00:00+00:00,43939
2025-05-06 00:00:00+00:00,43945
2025-05-07 00:00:00+00:00,43955
2025-05-08 00:00:00+00:00,43963
2025-05-09 00:00:00+00:00,43971
2025-05-10 00:00:00+00:00,43977
2025-05-11 00:00:00+00:00,43983
2025-05-12 00:00:00+00:00,43987
2025-05-13 00:00:00+00:00,44002
2025-05-14 00:00:00+00:00,44009
2025-05-15 00:00:00+00:00,44017
2025-05-16 00:00:00+00:00,44027
2025-05-17 00:00:00+00:00,44032
2025-05-18 00:00:00+00:00,44039
2025-05-19 00:00:00+00:00,44048
2025-05-20 00:00:00+00:00,44055
2025-05-21 00:00:00+00:00,44064
2025-05-22 00:00:00+00:00,44072
2025-05-23 00:00:00+00:00,44083
2025-05-24 00:00:00+00:00,44087
2025-05-25 00:00:00+00:00,44090
2025-05-26 00:00:00+00:00,44100
2025-05-27 00:00:00+00:00,44111
2025-05-28 00:00:00+00:00,44116
2025-05-29 00:00:00+00:00,44126
2025-05-30 00:00:00+00:00,44132
2025-05-31 00:00:00+00:00,44141
2025-06-01 00:00:00+00:00,44151
2025-06-02 00:00:00+00:00,44163
2025-06-03 00:00:00+00:00,44172
2025-06-04 00:00:00+00:00,44183
2025-06-05 00:00:00+00:00,44197
2025-06-06 00:00:00+00:00,44205
2025-06-07 00:00:00+00:00,44214
2025-06-08 00:00:00+00:00,44222
2025-06-09 00:00:00+00:00,44232
2025-06-10 00:00:00+00:00,44242
2025-06-11 00:00:00+00:00,44252
2025-06-12 00:00:00+00:00,44266
2025-06-13 00:00:00+00:00,44277
2025-06-14 00:00:00+00:00,44287
2025-06-15 00:00:00+00:00,44295
2025-06-16 00:00:00+00:00,44303
2025-06-17 00:00:00+00:00,44309
2025-06-18 00:00:00+00:00,44316
2025-06-19 00:00:00+00:00,44326
2025-06-20 00:00:00+00:00,44335
2025-06-21 00:00:00+00:00,44346
2025-06-22 00:00:00+00:00,44351
2025-06-23 00:00:00+00:00,44361
2025-06-24 00:00:00+00:00,44372
2025-06-25 00:00:00+00:00,44378
2025-06-26 00:00:00+00:00,44385
2025-06-27 00:00:00+00:00,44394
2025-06-28 00:00:00+00:00,44402
2025-06-29 00:00:00+00:00,44412
2025-06-30 00:00:00+00:00,44419
2025-07-01 00:00:00+00:00,44422
2025-07-02 00:00:00+00:00,44432
2025-07-03 00:00:00+00:00,44441
2025-07-04 00:00:00+00:00,44447
2025-07-05 00:00:00+00:00,44453
2025-07-06 00:00:00+00:00,44459
2025-07-07 00:00:00+00:00,44468
2025-07-08 00:00:00+00:00,44481
